user_id,register_date,region,age,gender,registration_channel,last_login_date
U10000,2025-02-23,吉林省,58,男,网站,2025-03-04
U10001,2025-05-13,湖北省,65,女,APP,2025-06-29
U10002,2024-04-06,江苏省,32,男,网站,2024-06-24
U10003,2025-03-24,山西省,61,男,线下推广,2025-09-03
U10004,2023-11-09,上海市,20,男,网站,2024-01-20
U10005,2024-04-02,江西省,31,男,网站,2025-04-29
U10006,2025-01-25,上海市,53,男,线下推广,2025-08-30
U10007,2024-03-18,甘肃省,32,女,微信小程序,2024-09-05
U10008,2024-09-28,湖北省,18,男,线下推广,2025-08-08
U10009,2025-08-21,北京市,39,女,APP,2025-09-05
U10010,2025-04-10,宁夏回族自治区,31,女,网站,2025-06-15
U10011,2024-05-18,辽宁省,23,女,网站,2024-11-01
U10012,2025-05-31,贵州省,40,女,微信小程序,2025-06-19
U10013,2023-12-27,云南省,20,女,网站,2024-03-11
U10014,2024-07-20,海南省,42,男,微信小程序,2025-02-10
U10015,2025-07-03,天津市,58,女,APP,2025-09-30
U10016,2024-12-05,吉林省,63,男,网站,2025-05-01
U10017,2023-12-16,河南省,60,男,微信小程序,2025-09-20
U10018,2025-02-15,四川省,23,男,网站,2025-09-27
U10019,2024-03-13,内蒙古自治区,42,女,线下推广,2024-04-17
U10020,2025-03-12,江西省,58,女,APP,2025-07-02
U10021,2023-12-16,江西省,41,女,APP,2024-03-03
U10022,2024-08-06,湖北省,60,女,网站,2025-07-24
U10023,2025-02-20,四川省,56,男,APP,2025-04-24
U10024,2024-07-29,海南省,28,女,线下推广,2025-01-07
U10025,2025-03-19,湖北省,35,男,微信小程序,2025-04-15
U10026,2025-01-31,黑龙江省,21,男,网站,2025-08-26
U10027,2025-05-04,福建省,38,女,微信小程序,2025-06-04
U10028,2024-10-09,云南省,22,男,微信小程序,2025-01-21
U10029,2025-10-03,江西省,31,女,线下推广,2025-10-10
U10030,2025-07-31,重庆市,59,女,APP,2025-08-22
U10031,2025-07-15,天津市,34,男,APP,2025-10-01
U10032,2024-06-17,陕西省,65,女,线下推广,2025-01-10
U10033,2023-12-06,浙江省,55,女,微信小程序,2025-02-18
U10034,2025-08-26,广西壮族自治区,32,男,线下推广,2025-09-15
U10035,2025-03-08,台湾省,23,男,网站,2025-08-08
U10036,2025-09-02,新疆维吾尔自治区,27,男,线下推广,2025-09-08
U10037,2024-05-08,江苏省,56,男,线下推广,2024-11-15
U10038,2025-05-16,湖南省,42,女,微信小程序,2025-10-08
U10039,2025-01-12,宁夏回族自治区,53,男,网站,2025-08-26
U10040,2024-08-21,四川省,61,女,微信小程序,2025-02-07
U10041,2024-01-31,香港特别行政区,25,女,线下推广,2025-02-17
U10042,2023-12-25,重庆市,28,女,网站,2024-03-19
U10043,2024-02-11,黑龙江省,64,女,APP,2025-07-23
U10044,2024-09-07,内蒙古自治区,50,男,微信小程序,2025-07-02
U10045,2024-08-07,新疆维吾尔自治区,58,男,APP,2025-09-21
U10046,2024-04-28,北京市,41,男,网站,2025-10-08
U10047,2025-04-27,吉林省,56,女,线下推广,2025-09-06
U10048,2025-09-02,湖北省,19,男,微信小程序,2025-10-09
U10049,2025-02-24,贵州省,37,男,网站,2025-04-08
U10050,2024-05-30,宁夏回族自治区,33,男,网站,2024-09-29
U10051,2024-10-02,北京市,64,女,网站,2025-10-07
U10052,2025-04-28,湖南省,52,男,APP,2025-08-03
U10053,2025-05-29,安徽省,60,女,APP,2025-09-04
U10054,2025-09-23,河北省,34,女,APP,2025-10-14
U10055,2025-02-12,广东省,52,男,微信小程序,2025-08-28
U10056,2025-01-31,山东省,43,女,线下推广,2025-03-31
U10057,2024-08-01,黑龙江省,51,女,网站,2025-09-23
U10058,2025-06-11,澳门特别行政区,33,男,网站,2025-06-11
U10059,2025-01-23,广西壮族自治区,39,男,APP,2025-07-31
U10060,2023-10-31,吉林省,55,男,网站,2024-08-07
U10061,2025-08-28,广东省,22,男,APP,2025-09-20
U10062,2023-11-29,福建省,22,男,微信小程序,2025-10-10
U10063,2024-12-29,山西省,22,男,微信小程序,2025-01-31
U10064,2025-05-06,台湾省,60,女,APP,2025-10-11
U10065,2023-12-08,江苏省,52,男,线下推广,2024-03-16
U10066,2025-03-11,西藏自治区,33,女,线下推广,2025-10-10
U10067,2024-02-21,湖南省,30,男,网站,2025-04-05
U10068,2025-08-23,宁夏回族自治区,60,女,微信小程序,2025-09-12
U10069,2025-10-06,山东省,45,女,线下推广,2025-10-14
U10070,2024-06-14,陕西省,64,男,网站,2025-03-31
U10071,2024-09-20,澳门特别行政区,21,女,微信小程序,2025-09-05
U10072,2024-01-17,福建省,24,男,APP,2024-07-09
U10073,2023-12-04,贵州省,30,女,APP,2023-12-20
U10074,2025-01-14,江西省,45,男,微信小程序,2025-08-30
U10075,2024-04-04,北京市,47,男,网站,2024-05-29
U10076,2025-04-17,重庆市,46,男,网站,2025-05-31
U10077,2023-12-07,天津市,59,男,网站,2025-10-04
U10078,2024-06-28,内蒙古自治区,33,男,线下推广,2025-08-01
U10079,2024-04-17,湖北省,49,女,APP,2025-09-18
U10080,2024-10-27,浙江省,43,男,APP,2025-05-24
U10081,2024-01-26,西藏自治区,42,男,线下推广,2024-08-01
U10082,2025-06-16,西藏自治区,34,女,微信小程序,2025-09-03
U10083,2024-03-11,河北省,45,女,APP,2024-05-25
U10084,2025-03-10,宁夏回族自治区,30,女,APP,2025-07-25
U10085,2024-09-09,甘肃省,21,男,微信小程序,2025-09-06
U10086,2025-08-16,重庆市,21,男,线下推广,2025-08-25
U10087,2023-12-02,陕西省,50,男,网站,2025-06-19
U10088,2024-07-05,河北省,50,男,APP,2025-01-14
U10089,2024-03-12,山东省,22,男,APP,2025-05-02
U10090,2024-09-28,江苏省,43,男,APP,2025-03-10
U10091,2024-03-06,湖北省,55,男,网站,2025-02-28
U10092,2024-04-27,内蒙古自治区,44,女,微信小程序,2025-04-06
U10093,2025-07-04,河北省,31,女,APP,2025-07-13
U10094,2025-03-05,北京市,34,女,APP,2025-04-10
U10095,2025-10-04,福建省,60,女,线下推广,2025-10-06
U10096,2024-08-26,台湾省,38,男,网站,2025-09-03
U10097,2024-03-30,陕西省,47,男,网站,2024-05-14
U10098,2024-02-20,云南省,52,男,微信小程序,2024-02-21
U10099,2024-08-14,湖南省,26,女,网站,2025-08-02
U10100,2024-05-24,宁夏回族自治区,33,女,微信小程序,2025-07-29
U10101,2025-03-13,台湾省,28,女,微信小程序,2025-05-12
U10102,2024-03-11,河南省,57,男,微信小程序,2024-08-27
U10103,2023-11-30,重庆市,60,男,APP,2025-07-02
U10104,2024-06-15,重庆市,34,男,网站,2024-07-23
U10105,2025-01-11,西藏自治区,65,男,微信小程序,2025-07-25
U10106,2025-09-29,澳门特别行政区,36,男,微信小程序,2025-10-02
U10107,2023-11-29,香港特别行政区,31,女,线下推广,2024-01-30
U10108,2025-08-07,安徽省,34,男,网站,2025-08-13
U10109,2025-01-20,内蒙古自治区,58,女,微信小程序,2025-10-09
U10110,2025-08-15,福建省,20,男,微信小程序,2025-09-23
U10111,2024-01-17,福建省,26,女,APP,2025-04-10
U10112,2025-01-19,天津市,65,女,线下推广,2025-09-16
U10113,2023-12-18,甘肃省,53,男,网站,2025-05-11
U10114,2025-01-11,澳门特别行政区,22,男,网站,2025-05-13
U10115,2025-10-11,湖南省,41,男,线下推广,2025-10-12
U10116,2025-03-19,广西壮族自治区,26,男,微信小程序,2025-06-19
U10117,2024-05-09,陕西省,41,男,微信小程序,2024-08-18
U10118,2025-03-20,广东省,31,男,网站,2025-09-13
U10119,2024-06-17,内蒙古自治区,40,女,APP,2024-06-24
U10120,2024-10-05,河北省,33,男,APP,2024-11-02
U10121,2024-12-06,浙江省,44,男,APP,2025-06-20
U10122,2024-05-08,江苏省,65,女,线下推广,2025-02-03
U10123,2025-08-30,内蒙古自治区,60,男,微信小程序,2025-10-11
U10124,2024-04-22,四川省,28,男,线下推广,2024-11-29
U10125,2024-02-15,青海省,20,女,APP,2025-04-11
U10126,2025-04-14,广东省,30,女,微信小程序,2025-08-10
U10127,2025-07-03,澳门特别行政区,37,男,APP,2025-07-04
U10128,2025-03-17,广东省,19,男,线下推广,2025-04-26
U10129,2025-10-14,江苏省,39,女,网站,2025-10-14
U10130,2024-01-13,河北省,35,女,线下推广,2025-08-11
U10131,2024-12-18,辽宁省,61,女,网站,2025-04-02
U10132,2024-05-21,浙江省,25,女,APP,2025-02-11
U10133,2024-03-22,湖南省,55,女,网站,2025-04-18
U10134,2024-10-29,湖南省,24,女,微信小程序,2025-10-15
U10135,2025-09-20,重庆市,64,女,线下推广,2025-09-24
U10136,2025-02-19,宁夏回族自治区,56,男,线下推广,2025-06-06
U10137,2023-11-19,北京市,54,男,微信小程序,2024-08-04
U10138,2025-06-05,江苏省,20,女,网站,2025-10-06
U10139,2024-05-06,黑龙江省,51,男,微信小程序,2025-04-14
U10140,2024-12-17,宁夏回族自治区,45,男,微信小程序,2025-07-22
U10141,2023-10-23,吉林省,57,女,网站,2023-12-20
U10142,2025-08-31,辽宁省,64,女,微信小程序,2025-09-26
U10143,2023-11-12,四川省,60,女,微信小程序,2025-02-06
U10144,2024-12-18,辽宁省,43,女,APP,2025-06-02
U10145,2024-01-22,天津市,30,女,线下推广,2024-09-17
U10146,2024-07-25,天津市,61,男,微信小程序,2025-04-28
U10147,2024-03-27,福建省,43,男,微信小程序,2025-08-27
U10148,2024-01-03,海南省,36,男,线下推广,2025-08-30
U10149,2024-12-23,甘肃省,55,女,线下推广,2025-08-21
U10150,2025-05-20,辽宁省,46,女,APP,2025-07-04
U10151,2025-08-17,黑龙江省,50,女,APP,2025-09-03
U10152,2025-08-30,甘肃省,60,男,微信小程序,2025-08-31
U10153,2024-03-03,贵州省,50,女,网站,2025-01-16
U10154,2025-06-30,福建省,33,女,APP,2025-08-20
U10155,2024-02-16,河北省,30,男,网站,2024-12-09
U10156,2025-08-23,天津市,20,男,线下推广,2025-10-07
U10157,2024-04-05,山东省,57,男,线下推广,2025-03-28
U10158,2024-07-13,广东省,44,男,线下推广,2025-01-05
U10159,2024-04-06,上海市,49,女,APP,2025-08-31
U10160,2024-03-14,陕西省,27,男,网站,2024-11-23
U10161,2024-05-19,内蒙古自治区,45,男,APP,2024-12-21
U10162,2024-07-14,香港特别行政区,62,女,网站,2025-05-20
U10163,2025-03-26,贵州省,53,男,网站,2025-04-05
U10164,2024-01-13,湖南省,47,男,线下推广,2024-05-30
U10165,2025-01-08,湖南省,60,女,线下推广,2025-01-22
U10166,2024-01-08,宁夏回族自治区,57,女,线下推广,2024-10-02
U10167,2025-05-03,广西壮族自治区,28,女,线下推广,2025-07-26
U10168,2025-01-28,香港特别行政区,34,男,微信小程序,2025-03-13
U10169,2024-08-10,山东省,51,女,APP,2025-02-23
U10170,2023-11-19,宁夏回族自治区,35,女,网站,2023-11-20
U10171,2024-11-22,山东省,63,女,APP,2025-04-12
U10172,2024-09-14,内蒙古自治区,35,女,微信小程序,2025-05-28
U10173,2025-02-11,广西壮族自治区,52,男,APP,2025-03-31
U10174,2025-04-27,广东省,27,男,线下推广,2025-08-03
U10175,2024-06-12,甘肃省,62,男,APP,2025-02-20
U10176,2024-08-23,河南省,22,女,线下推广,2024-11-29
U10177,2024-03-13,甘肃省,39,女,线下推广,2025-08-11
U10178,2025-10-15,云南省,21,男,线下推广,2025-10-15
U10179,2025-02-05,广东省,42,男,线下推广,2025-07-12
U10180,2024-12-14,北京市,48,男,微信小程序,2025-04-11
U10181,2024-05-25,浙江省,37,女,线下推广,2025-04-23
U10182,2025-06-17,广西壮族自治区,52,男,线下推广,2025-09-15
U10183,2024-09-23,青海省,32,女,线下推广,2025-06-12
U10184,2024-03-29,香港特别行政区,49,男,线下推广,2025-03-31
U10185,2025-06-23,黑龙江省,39,女,APP,2025-07-09
U10186,2024-05-23,香港特别行政区,47,男,网站,2025-09-26
U10187,2025-02-07,贵州省,43,男,网站,2025-03-15
U10188,2025-07-12,福建省,59,女,APP,2025-09-15
U10189,2024-06-13,江西省,47,男,网站,2024-11-14
U10190,2024-02-07,上海市,34,女,微信小程序,2024-03-13
U10191,2024-04-23,西藏自治区,31,女,微信小程序,2025-08-10
U10192,2025-08-06,内蒙古自治区,39,女,微信小程序,2025-09-19
U10193,2024-09-01,山东省,44,女,网站,2025-06-26
U10194,2024-11-02,陕西省,48,男,网站,2025-02-04
U10195,2024-02-07,北京市,40,男,网站,2025-09-12
U10196,2025-08-14,河北省,59,男,网站,2025-09-24
U10197,2024-04-02,安徽省,33,男,网站,2025-09-24
U10198,2024-11-21,新疆维吾尔自治区,57,男,APP,2024-12-10
U10199,2024-12-21,福建省,26,女,网站,2025-02-06
U10200,2024-10-04,江苏省,54,男,线下推广,2025-08-11
U10201,2024-10-10,澳门特别行政区,62,女,微信小程序,2025-05-15
U10202,2025-01-20,广西壮族自治区,28,男,APP,2025-07-10
U10203,2025-02-02,香港特别行政区,37,男,网站,2025-07-17
U10204,2025-07-22,青海省,37,女,线下推广,2025-08-06
U10205,2025-05-15,西藏自治区,63,男,网站,2025-08-10
U10206,2024-05-04,福建省,55,男,网站,2025-09-11
U10207,2024-05-18,澳门特别行政区,62,女,网站,2025-05-29
U10208,2025-02-13,福建省,54,男,微信小程序,2025-05-30
U10209,2024-09-21,内蒙古自治区,52,女,微信小程序,2025-04-30
U10210,2024-04-15,湖北省,22,女,网站,2024-12-31
U10211,2024-06-20,山西省,44,女,网站,2024-10-05
U10212,2024-02-10,江西省,45,女,线下推广,2024-12-03
U10213,2025-04-07,辽宁省,63,男,线下推广,2025-08-22
U10214,2024-03-30,内蒙古自治区,29,女,线下推广,2025-02-15
U10215,2024-08-27,贵州省,47,女,微信小程序,2025-08-23
U10216,2024-09-02,重庆市,38,男,网站,2025-02-09
U10217,2025-07-23,甘肃省,35,女,APP,2025-08-29
U10218,2025-09-17,上海市,47,女,微信小程序,2025-10-14
U10219,2024-08-06,西藏自治区,19,女,微信小程序,2024-08-10
U10220,2024-07-15,广东省,29,女,APP,2025-05-13
U10221,2025-08-08,甘肃省,40,女,微信小程序,2025-09-29
U10222,2025-05-18,江西省,35,女,网站,2025-08-20
U10223,2024-04-03,湖北省,51,男,网站,2025-03-07
U10224,2024-10-27,上海市,33,女,线下推广,2025-03-27
U10225,2024-07-03,陕西省,53,男,线下推广,2024-11-08
U10226,2025-07-29,新疆维吾尔自治区,59,女,线下推广,2025-08-10
U10227,2025-02-10,上海市,19,男,微信小程序,2025-07-13
U10228,2025-01-17,上海市,32,女,APP,2025-02-18
U10229,2025-02-26,宁夏回族自治区,37,女,线下推广,2025-04-19
